sku,category_ids
etrade1,"rt - office supplies|Facilities|Safety & Security|I D Badges|Others"
etrade2,"rt - office supplies|Business Machines|Office Machine Supplies|Laminating Pockets|A5"
etrade3,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Blue"
etrade4,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Black"
etrade5,"rt - office supplies|Office Supplies|Desktop Accessories|Book Racks / Mag Files|Bookends"
etrade6,"rt - office supplies|Office Supplies|Arts & Crafts|Drawing Aids|Various"
etrade7,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade8,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade9,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade10,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade11,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade12,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade13,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade14,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade15,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade16,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade17,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Indexes"
etrade18,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade19,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade20,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade21,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade22,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade23,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade24,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade25,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Tabs"
etrade26,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Address Books|Unspecified"
etrade27,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Correction Media|Correction Fluid"
etrade28,"rt - office supplies|Business Machines|Office Machines|Calculators/Adding Machines|Handheld Calculator"
etrade29,"rt - office supplies|Office Supplies|Desktop Accessories|Stamp Pads & Ink|Black"
etrade30,"rt - office supplies|Office Supplies|Desktop Accessories|Stamp Pads & Ink|Red"
etrade31,"rt - office supplies|Office Supplies|Desktop Accessories|Rubber Stamps|Bespoke"
etrade32,"rt - office supplies|Office Supplies|Desktop Accessories|Rubber Stamps|Bespoke"
etrade33,"rt - office supplies|Office Supplies|Desktop Accessories|Rubber Stamps|Word"
etrade34,"rt - office supplies|Office Supplies|Desktop Accessories|Rubber Stamps|Word"
etrade35,"rt - office supplies|Office Supplies|Desktop Accessories|Stamp Pads & Ink|Black"
etrade36,"rt - office supplies|Office Supplies|Desktop Accessories|Stamp Pads & Ink|MultiColour"
etrade37,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade38,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade39,"rt - office supplies|Inks & Toners|Printer/Fax/Copier Supplies|Laser Toners|Black"
etrade40,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Dividers/Indexes/Tabs|Dividers"
etrade41,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Unspecified"
etrade42,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Red"
etrade43,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Black"
etrade44,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Red"
etrade45,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Ball Point Pens|Blue"
etrade46,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Red"
etrade47,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Red"
etrade48,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Rollerball Pens|Green"
etrade49,"rt - office supplies|Business Machines|Office Machine Supplies|Tally Rolls|44-56mm"
etrade50,"rt - office supplies|Business Machines|Office Machine Supplies|Tally Rolls|58mm +"
etrade51,"rt - office supplies|Business Machines|Office Machine Supplies|Tally Rolls|58mm +"
etrade52,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade53,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade54,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade55,"rt - office supplies|Office Supplies|Adhesives & Tapes|Packing Tape|36/50mm"
etrade56,"rt - office supplies|Office Supplies|Adhesives & Tapes|Clear Tape|38+mm"
etrade57,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Flipchart Pens|Bullet Tip"
etrade58,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Visitors Books|Unspecified"
etrade59,"rt - office supplies|Postal Supplies|Books, Pads & Albums|Business Card Books|Book"
