sku,open_range_id,unspsc_code,unspsc_commodity,boss_code
etrade1,770593,55121804,"Badges or badge holders",62124
etrade2,761813,44102002,"Laminator pouches",51191
etrade3,729773,44121704,"Ball point pens",15101
etrade4,729772,44121704,"Ball point pens",15102
etrade5,885228,44111507,"Book ends",18133
etrade6,771629,60101004,"Middle School math kits",16146
etrade7,733837,44122010,Dividers,14252
etrade8,733875,44122008,"Tab indexes",14252
etrade9,733884,44122008,"Tab indexes",14252
etrade10,733885,44122008,"Tab indexes",14252
etrade11,733886,44122008,"Tab indexes",14252
etrade12,733895,44122008,"Tab indexes",14252
etrade13,733887,44122008,"Tab indexes",14252
etrade14,733888,44122008,"Tab indexes",14252
etrade15,733889,44122008,"Tab indexes",14252
etrade16,733897,44122008,"Tab indexes",14252
etrade17,733896,44122008,"Tab indexes",14252
etrade18,733891,44122008,"Tab indexes",14251
etrade19,733968,44122010,Dividers,14251
etrade20,733970,44122010,Dividers,14251
etrade21,734069,44122010,Dividers,14251
etrade22,734059,44122010,Dividers,14251
etrade23,733971,44122010,Dividers,14251
etrade24,733972,44122010,Dividers,14251
etrade25,891583,44122008,"Tab indexes",14253
etrade26,891584,44112001,"Address books or refills",12190
etrade27,748971,44121802,"Correction fluid",15172
etrade28,737227,44101809,"Desktop calculator",50103
etrade29,776352,44121905,"Ink or stamp pads",18252
etrade30,776351,44121905,"Ink or stamp pads",18253
etrade31,756514,60121701,"Rubber stamping stamps",18243
etrade32,756515,60121701,"Rubber stamping stamps",18243
etrade33,756512,60121701,"Rubber stamping stamps",18241
etrade34,756513,60121701,"Rubber stamping stamps",18241
etrade35,776361,44121905,"Ink or stamp pads",18252
etrade36,776362,44121905,"Ink or stamp pads",18256
etrade37,228757,44103103,Toner,43174
etrade38,789406,44122010,Dividers,14251
etrade39,218786,44103103,Toner,43174
etrade40,789414,44122010,Dividers,14251
etrade41,729926,44121701,"Rollerball pens",15110
etrade42,729632,44121701,"Rollerball pens",15113
etrade43,729617,44121704,"Ball point pens",15102
etrade44,729618,44121704,"Ball point pens",15103
etrade45,729619,44121704,"Ball point pens",15101
etrade46,729563,44121701,"Rollerball pens",15113
etrade47,729578,44121701,"Rollerball pens",15113
etrade48,729925,44121701,"Rollerball pens",15114
etrade49,761245,14111515,"Calculator or cash register paper",51172
etrade50,761273,14111515,"Calculator or cash register paper",51174
etrade51,761274,14111515,"Calculator or cash register paper",51174
etrade52,775483,44122037,"Ring binder",14111
etrade53,775482,44122037,"Ring binder",14111
etrade54,775481,44122037,"Ring binder",14111
etrade55,728516,44103506,"Binding tape",17164
etrade56,728712,44121635,"Adhesive tape spindles",17104
etrade57,730179,44121708,Markers,15274
etrade58,985675,44112001,"Address books or refills",12230
etrade59,728161,44111518,"Business card holders",12201
etrade60,728163,44111518,"Business card holders",12204
etrade61,728304,44112001,"Address books or refills",12230
etrade62,728303,55101524,"Reference books",12230
etrade63,728257,55101524,"Reference books",12220
etrade64,728260,14111514,"Paper pads or notebooks",12220
etrade65,728296,14111514,"Paper pads or notebooks",63220
etrade68,1131659,14111512,"Graph paper",12173
etrade69,1131664,14111512,"Graph paper",12172
etrade70,891585,56101702,"Filing cabinets or accesories",14201
etrade71,954679,44111518,"Business card holders",12201
etrade72,218795,44103103,Toner,43172
etrade73,845144,44122036,"Box file",14122
etrade74,845145,44122036,"Box file",14121
etrade75,218796,44103103,Toner,43173
etrade76,845146,44122035,"Lever arch file",14101
etrade77,845438,44122035,"Lever arch file",14101
etrade78,845147,44122035,"Lever arch file",14101
etrade79,845148,44122035,"Lever arch file",14102
etrade80,845149,44122035,"Lever arch file",14102
etrade81,845439,44122035,"Lever arch file",14102
etrade82,845150,44122035,"Lever arch file",14101
etrade83,845151,44122035,"Lever arch file",14102
etrade84,845152,44122035,"Lever arch file",14101
etrade85,845153,44122035,"Lever arch file",14101
etrade86,845154,44122035,"Lever arch file",14102
etrade87,845155,44122035,"Lever arch file",14102
etrade88,775299,44122037,"Ring binder",14114
etrade89,775431,44122003,Binders,14292
etrade90,775426,44122037,"Ring binder",14294
etrade91,775427,44122003,Binders,14296
etrade92,775430,44122003,Binders,14295
etrade93,775432,44122003,Binders,14292
etrade94,845934,44122037,"Ring binder",14111
etrade95,845971,44122037,"Ring binder",14111
etrade96,845935,44122037,"Ring binder",14111
etrade97,845936,44122037,"Ring binder",14111
etrade98,845937,44122037,"Ring binder",14111
etrade99,775307,44122037,"Ring binder",14113
etrade100,775308,44122037,"Ring binder",14113
etrade101,775309,44122037,"Ring binder",14113
etrade102,956167,44122035,"Lever arch file",14102
etrade103,845156,44122016,"Document holder",14172
etrade104,956168,44122035,"Lever arch file",14102
etrade105,845157,44122019,"File pockets or accessories",14162
etrade106,845940,44122035,"Lever arch file",14104
etrade107,1106930,44122019,"File pockets or accessories",14161
etrade108,1138941,44122019,"File pockets or accessories",14161
etrade109,257914,44103105,"Ink cartridges",43152
etrade110,23432,44103105,"Ink cartridges",43151
etrade111,23467,44103105,"Ink cartridges",43152
etrade112,23478,44103105,"Ink cartridges",43152
etrade113,23483,44103105,"Ink cartridges",43152
etrade114,23538,44103110,"Print heads",43151
etrade115,23532,44103110,"Print heads",43152
etrade116,956212,44111512,"Literature rack",18132
etrade117,23536,44103110,"Print heads",43152
etrade118,23537,44103110,"Print heads",43152
etrade119,935784,44103503,"Binding spines or snaps",14332
etrade120,1182489,44103503,"Binding spines or snaps",14332
etrade121,1182490,44103503,"Binding spines or snaps",14332
etrade122,935782,44103503,"Binding spines or snaps",14332
etrade123,956213,44111512,"Literature rack",18132
etrade124,732984,44122003,Binders,14332
etrade125,732985,44122003,Binders,14332
etrade126,732986,44122003,Binders,14332
etrade127,732987,44122003,Binders,14332
etrade128,1182491,44103503,"Binding spines or snaps",14332
etrade129,956214,44111512,"Literature rack",18132
etrade130,253871,44103105,"Ink cartridges",43152
etrade131,845158,44122011,Folders,14302
etrade132,845160,44122011,Folders,14302
etrade133,845161,44122019,"File pockets or accessories",14302
etrade134,845162,44122019,"File pockets or accessories",14302
etrade135,845163,44122035,"Lever arch file",14101
etrade136,253138,44103105,"Ink cartridges",43152
etrade137,845165,44122011,Folders,14121
etrade138,845166,44122036,"Box file",14121
etrade139,845441,44122036,"Box file",14121
etrade140,845167,44122036,"Box file",14122
etrade141,845168,44122036,"Box file",14122
etrade142,113126,14111507,"Printer or copier paper",10109
etrade143,731004,44121907,"Fountain pen ink refill",15162
etrade144,884809,14111520,"Blotter paper",18102
etrade145,774652,14111520,"Blotter paper",18102
etrade146,884794,14111520,"Blotter paper",18101
etrade147,774647,14111520,"Blotter paper",18101
etrade148,113105,14111507,"Printer or copier paper",10104
etrade149,113106,14111507,"Printer or copier paper",10114
etrade150,110831,44103103,Toner,43174
etrade151,960275,44121505,"Specialty envelopes",11172
etrade152,960276,44121505,"Specialty envelopes",11172
etrade153,960277,44121505,"Specialty envelopes",11172
etrade154,960278,44121505,"Specialty envelopes",11172
etrade155,960279,44121505,"Specialty envelopes",11172
etrade156,960280,44121505,"Specialty envelopes",11172
etrade157,960281,44121505,"Specialty envelopes",11172
etrade158,1182500,44122011,Folders,14184
etrade159,1182501,44122011,Folders,14184
etrade160,1182502,44122011,Folders,14184
etrade161,1182503,44122011,Folders,14184
etrade162,1182504,44122037,"Ring binder",14111
etrade163,1182505,44122037,"Ring binder",14111
etrade164,1182506,44122037,"Ring binder",14111
etrade165,1182507,44122037,"Ring binder",14111
etrade166,1182495,44122011,Folders,14302
etrade167,1182496,44122011,Folders,14184
etrade168,1182497,44122011,Folders,14184
etrade169,1182498,44122011,Folders,14184
etrade170,1182499,44122011,Folders,14184
etrade171,1182508,44122011,Folders,14184
etrade172,1182509,44122011,Folders,14183
etrade173,735143,44122016,"Document holder",14181
etrade174,1182510,14111807,"Multipurpose business book",14281
etrade175,1182511,14111807,"Multipurpose business book",14282
etrade176,110832,44103103,Toner,43174
etrade177,1182512,14111807,"Multipurpose business book",14283
etrade178,1182513,44122037,"Ring binder",14111
etrade179,1182514,44122037,"Ring binder",14111
etrade180,1182515,44122037,"Ring binder",14111
etrade181,1182516,44122037,"Ring binder",14113
etrade182,108271,44103103,Toner,43174
etrade183,1034568,44122037,"Ring binder",14111
etrade184,108270,44103103,Toner,43174
etrade185,1182518,44122011,Folders,14302
etrade186,774071,44121701,"Rollerball pens",15101
etrade187,1182519,44122011,Folders,14182
etrade188,735157,44122011,Folders,14182
etrade189,729763,44121701,"Rollerball pens",15112
etrade190,734473,44122017,"Hanging folders or accessories",14211
etrade191,734642,44122017,"Hanging folders or accessories",14212
etrade192,730565,44121711,"Felt pen",15261
etrade193,936892,44121701,"Rollerball pens",15112
etrade194,936891,44121701,"Rollerball pens",15111
etrade195,1178745,44121701,"Rollerball pens",15112
