sku,websites,cost,price,msrp,special_price,special_from_date,special_to_date,tier_price,attribute_set_name,type_id
etrade1,base,33.11,76.20,76.20,,,,,"Badges or badge holders",simple
etrade2,base,4.69,23.89,23.89,,,,,"Laminator pouches",simple
etrade3,base,7.66,17.05,17.05,,,,,"Ball point pens",simple
etrade4,base,7.51,17.05,17.05,,,,,"Ball point pens",simple
etrade5,base,3.84,8.34,8.34,,,,,"Book ends",simple
etrade6,base,2.03,5.05,5.05,,,,,"Middle School math kits",simple
etrade7,base,9.25,20.65,20.65,,,,,Dividers,simple
etrade8,base,1.19,2.64,2.64,,,,,"Tab indexes",simple
etrade9,base,0.79,2.17,2.17,,,,,"Tab indexes",simple
etrade10,base,1.18,3.09,3.09,,,,,"Tab indexes",simple
etrade11,base,1.41,3.71,3.71,,,,,"Tab indexes",simple
etrade12,base,1.70,4.53,4.53,,,,,"Tab indexes",simple
etrade13,base,2.06,5.44,5.44,,,,,"Tab indexes",simple
etrade14,base,3.04,7.97,7.97,,,,,"Tab indexes",simple
etrade15,base,1.95,5.06,5.06,,,,,"Tab indexes",simple
etrade16,base,1.41,3.71,3.71,,,,,"Tab indexes",simple
etrade17,base,2.26,5.69,5.69,,,,,"Tab indexes",simple
etrade18,base,1.21,3.22,3.22,,,,,"Tab indexes",simple
etrade19,base,0.39,1.03,1.03,,,,,Dividers,simple
etrade20,base,0.83,2.54,2.54,,,,,Dividers,simple
etrade21,base,1.27,3.55,3.55,,,,,Dividers,simple
etrade22,base,2.00,6.26,6.26,,,,,Dividers,simple
etrade23,base,0.15,0.57,0.57,,,,,Dividers,simple
etrade24,base,0.23,1.07,1.07,,,,,Dividers,simple
etrade25,base,2.80,6.58,6.58,,,,,"Tab indexes",simple
etrade26,base,2.82,7.70,7.70,,,,,"Address books or refills",simple
etrade27,base,7.81,22.97,22.97,,,,,"Correction fluid",simple
etrade28,base,10000,10000,10000,,,,,"Desktop calculator",simple
etrade29,base,1.45,4.61,4.61,,,,,"Ink or stamp pads",simple
etrade30,base,1.45,4.61,4.61,,,,,"Ink or stamp pads",simple
etrade31,base,20.21,51.95,51.95,,,,,"Rubber stamping stamps",simple
etrade32,base,26.50,69.49,69.49,,,,,"Rubber stamping stamps",simple
etrade33,base,5.51,18.42,18.42,,,,,"Rubber stamping stamps",simple
etrade34,base,7.07,18.42,18.42,,,,,"Rubber stamping stamps",simple
etrade35,base,10000,10000,10000,,,,,"Ink or stamp pads",simple
etrade36,base,4.66,10.76,10.76,,,,,"Ink or stamp pads",simple
etrade37,base,31.01,56.14,56.14,,,,,Toner,simple
etrade38,base,25.06,37.60,37.60,,,,,Dividers,simple
etrade39,base,10000,10000,10000,,,,,Toner,simple
etrade40,base,16.79,42.75,42.75,,,,,Dividers,simple
etrade41,base,12.60,30.36,30.36,,,,,"Rollerball pens",simple
etrade42,base,13.36,32.52,32.52,,,,,"Rollerball pens",simple
etrade43,base,8.22,20.28,20.28,,,,,"Ball point pens",simple
etrade44,base,8.22,20.28,20.28,,,,,"Ball point pens",simple
etrade45,base,8.22,20.28,20.28,,,,,"Ball point pens",simple
etrade46,base,8.57,19.32,19.32,,,,,"Rollerball pens",simple
etrade47,base,9.23,21.72,21.72,,,,,"Rollerball pens",simple
etrade48,base,12.60,30.36,30.36,,,,,"Rollerball pens",simple
etrade49,base,7.67,27.91,27.91,,,,,"Calculator or cash register paper",simple
etrade50,base,8.46,59.97,59.97,,,,,"Calculator or cash register paper",simple
etrade51,base,39.70,87.41,87.41,,,,,"Calculator or cash register paper",simple
etrade52,base,22.22,53.71,53.71,,,,,"Ring binder",simple
etrade53,base,22.22,53.71,53.71,,,,,"Ring binder",simple
etrade54,base,22.22,53.71,53.71,,,,,"Ring binder",simple
etrade55,base,3.72,11.76,11.76,,,,,"Binding tape",simple
etrade56,base,5.31,16.76,16.76,,,,,"Adhesive tape spindles",simple
etrade57,base,2.97,8.53,8.53,,,,,Markers,simple
etrade58,base,18.30,38.85,38.85,,,,,"Address books or refills",simple
etrade59,base,10000,10000,10000,,,,,"Business card holders",simple
etrade60,base,10000,10000,10000,,,,,"Business card holders",simple
etrade61,base,13.34,32.06,32.06,,,,,"Address books or refills",simple
etrade62,base,3.79,10.14,10.14,,,,,"Reference books",simple
etrade63,base,6.33,14.50,14.50,,,,,"Reference books",simple
etrade64,base,6.33,14.50,14.50,,,,,"Paper pads or notebooks",simple
etrade65,base,4.48,8.78,8.78,,,,,"Paper pads or notebooks",simple
etrade68,base,10.86,23.34,23.34,,,,,"Graph paper",simple
etrade69,base,6.53,11.69,11.69,,,,,"Graph paper",simple
etrade70,base,10000,10000,10000,,,,,"Filing cabinets or accesories",simple
etrade71,base,3.47,10.36,10.36,,,,,"Business card holders",simple
etrade72,base,10000,10000,10000,,,,,Toner,simple
etrade73,base,45.32,85.67,85.67,,,,,"Box file",simple
etrade74,base,45.32,85.67,85.67,,,,,"Box file",simple
etrade75,base,10000,10000,10000,,,,,Toner,simple
etrade76,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade77,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade78,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade79,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade80,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade81,base,42.36,82.73,82.73,,,,,"Lever arch file",simple
etrade82,base,42.36,82.73,82.73,,,,,"Lever arch file",simple
etrade83,base,42.04,82.10,82.10,,,,,"Lever arch file",simple
etrade84,base,42.15,82.10,82.10,,,,,"Lever arch file",simple
etrade85,base,64.60,133.44,133.44,,,,,"Lever arch file",simple
etrade86,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade87,base,51.36,92.91,92.91,,,,,"Lever arch file",simple
etrade88,base,56.91,96.99,96.99,,,,,"Ring binder",simple
etrade89,base,21.47,90.86,90.86,,,,,Binders,simple
etrade90,base,23.94,101.82,101.82,,,,,"Ring binder",simple
etrade91,base,36.16,136.26,136.26,,,,,Binders,simple
etrade92,base,32.22,120.58,120.58,,,,,Binders,simple
etrade93,base,28.69,91.76,91.76,,,,,Binders,simple
etrade94,base,12.61,40.20,40.20,,,,,"Ring binder",simple
etrade95,base,12.61,40.20,40.20,,,,,"Ring binder",simple
etrade96,base,12.61,40.20,40.20,,,,,"Ring binder",simple
etrade97,base,12.61,40.20,40.20,,,,,"Ring binder",simple
etrade98,base,12.61,40.20,40.20,,,,,"Ring binder",simple
etrade99,base,10000,10000,10000,,,,,"Ring binder",simple
etrade100,base,10000,10000,10000,,,,,"Ring binder",simple
etrade101,base,2.08,3.82,3.82,,,,,"Ring binder",simple
etrade102,base,28.92,80.70,80.70,,,,,"Lever arch file",simple
etrade103,base,11.29,29.60,29.60,,,,,"Document holder",simple
etrade104,base,28.92,80.70,80.70,,,,,"Lever arch file",simple
etrade105,base,15.21,39.89,39.89,,,,,"File pockets or accessories",simple
etrade106,base,10000,10000,10000,,,,,"Lever arch file",simple
etrade107,base,13.26,24.26,24.26,,,,,"File pockets or accessories",simple
etrade108,base,9.53,24.26,24.26,,,,,"File pockets or accessories",simple
etrade109,base,36.20,62.14,62.14,,,,,"Ink cartridges",simple
