sku,number_of,material,colour,product_type,size,feature_options,type,functions,yield,item_weight,multi_pack,capacity,display,class
etrade1,,,,,,,,,,,,,,
etrade2,,160microns,,,A5,,,,,,,,,
etrade3,,,Blue,"Ballpoint Pen",,,,,,,,,,
etrade4,,,Black,"Ballpoint Pen",,,,,,,,,,
etrade5,,,Black,,,,,,,,,,,
etrade6,,,,"Drawing Aids",,,,,,,,,,
etrade7,54,,White,Index,A4,,,,,,,,,
etrade8,,,White,Index,A5,,,,,,,,,
etrade9,,,White,"Index Tabs",A4,,,,,,,,,
etrade10,,,White,"Index Tabs",A4,,,,,,,,,
etrade11,,,White,"Index Tabs",A4,,,,,,,,,
etrade12,,,White,"Index Tabs",A4,,,,,,,,,
etrade13,,,White,"Index Tabs",A4,,,,,,,,,
etrade14,,,White,"Index Tabs",A4,,,,,,,,,
etrade15,,,White,"Index Tabs",A4,,,,,,,,,
etrade16,,,White,"Index Jan-Dec",A4,,,,,,,,,
etrade17,,,White,"Index Tabs",A4,,,,,,,,,
etrade18,,,White,"Index Tabs",A4,,,,,,,,,
etrade19,6,,Mixed,Divider,A4,,,,,,,,,
etrade20,12,,Mixed,Divider,A4,,,,,,,,,
etrade21,20,,Mixed,Divider,A4,,,,,,,,,
etrade22,,,Mixed,Divider,A4,,,,,,,,,
etrade23,5,,Mixed,Divider,A4,,,,,,,,,
etrade24,,,Mixed,Divider,A4,,,,,,,,,
etrade25,,,Mixed,"Index Tab",,Rectangular,,,,,,,,
etrade26,,,,,,Sidebound,,,,,,,,
etrade27,,,,,,,,,,,,,,
etrade28,,,,,,Solar,Desktop,"Total Key",,,,,,
etrade29,,,,,,,,,,,,,,
etrade30,,,,,,,,,,,,,,
etrade31,,,"Mono Colour",,,"Free Text",Self-Inking,,,,,,,
etrade32,,,"Mono Colour",,,"Free Text",Self-Inking,,,,,,,
etrade33,,,Red,,,Received,Self-Inking,,,,,,,
etrade34,,,Red,,,Paid,Self-Inking,,,,,,,
etrade35,,,Black,,,,,,,,,,,
etrade36,,,Red,,,,,,,,,,,
etrade37,,,Black,,,,,,"2,500 Pages",,,,,
etrade38,5,,,Dividers,A4,,,,,,,,,
etrade39,,,Black,,,,,,"8,000 Pages",,,,,
etrade40,10,,,Dividers,A4,,,,,,,,,
etrade41,,,Purple,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade42,,,Red,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade43,,,Black,"Ballpoint Pen",,,,,,,,,,
etrade44,,,Red,"Ballpoint Pen",,,,,,,,,,
etrade45,,,Blue,"Ballpoint Pen",,,,,,,,,,
etrade46,,,Red,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade47,,,Red,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade48,,,Green,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade49,1,,White,,,,,,,55gm,,,,
etrade50,1,,White,,,,,,,55gm,,,,
etrade51,1,,White,,,,,,,55gm,,,,
etrade52,2,PVC,Red,,A4,,D-Ring,,,,,40mm,,
etrade53,2,PVC,Blue,,A4,,D-Ring,,,,,40mm,,
etrade54,2,PVC,Black,,A4,,D-Ring,,,,,40mm,,
etrade55,,,Buff,,,,,,,,,,,
etrade56,,,Clear,Roll,,,,,,,,,,
etrade57,,,Mixed,"Flipchart Pens",,,,,,,,,,
etrade58,192,,,,,Sidebound,Hardback,,,,,,,
etrade59,,,Black,"Business Card Binder",,,Softback,,,,,,,
etrade60,,,,"Refill Sheets",,,Softback,,,,,,,
etrade61,,,,,,Sidebound,Hardback,,,,,,,
etrade62,,,,,,,Softback,,,,,,,
etrade63,160,,,,,,Softback,,,,,,,
etrade64,160,Card,,,,Sidebound,Softback,,,,,,,
etrade65,50,Card,,,A5,Sidebound,Softback,,,,,,,
etrade68,,,,,A3,Sidebound,Softback,,,85gm,,,,
etrade69,,,,,A4,Sidebound,Softback,,,85gm,,,,
etrade70,,,,,,,,,,,,,,
etrade71,,,Black,"Business Card Holder",,,Softback,,,,,,,
etrade72,,,Magenta,,,,,,"2,000 Pages",,,,,
etrade73,,,,,Foolscap,,,,,,,,,
etrade74,,Cardboard,,,A4,,,,,,,,,
etrade75,,,Yellow,,,,,,"2,000 Pages",,,,,
etrade76,2,,Blue,"Lever Arch File",A4,,Hardback,,,,,,,
etrade77,2,,Green,"Lever Arch File",A4,,Hardback,,,,,,,
etrade78,2,,Red,"Lever Arch File",A4,,Hardback,,,,,,,
etrade79,2,Plastic,Blue,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade80,2,,Green,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade81,2,,Black,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade82,,,Black,"Lever Arch File",A4,,,,,,,,,
etrade83,2,,Black,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade84,2,,Grey,"Lever Arch File",A4,,Hardback,,,,,,,
etrade85,2,,Grey,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade86,2,,Red,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade87,2,,Yellow,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade88,4,PVC,Blue,,A3,,D-Ring,,,,,30mm,,
etrade89,,Plastic,White,,A4,Ring,Hardback,,,,,,,
etrade90,4,PVC,White,,A4,,D-Ring,,,,,40mm,,
etrade91,,,White,,A4,Ring,Hardback,,,,,,,
etrade92,,Plastic,White,,A4,Ring,Hardback,,,,,,,
etrade93,,Plastic,White,,A4,Ring,Hardback,,,,,,,
etrade94,2,PVC,Blue,,A4,,O-Ring,,,,,25mm,,
etrade95,2,PVC,Blue,,A4,,O-Ring,,,,,25mm,,
etrade96,2,PVC,Blue,,A4,,O-Ring,,,,,25mm,,
etrade97,2,PVC,Blue,,A4,,O-Ring,,,,,25mm,,
etrade98,2,PVC,Blue,,A4,,O-Ring,,,,,25mm,,
etrade99,2,PVC,Blue,,A5,,O-Ring,,,,,25mm,,
etrade100,2,PVC,Green,,A5,,O-Ring,,,,,25mm,,
etrade101,2,PVC,Red,,A5,,O-Ring,,,,,25mm,,
etrade102,2,Plastic,Blue,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade103,,,Clear,,A4,,,,,,,,,
etrade104,2,Plastic,Black,"Lever Arch File",Foolscap,,Hardback,,,,,,,
etrade105,,,Clear,"File Pocket",A4,,,,,,,,,
etrade106,2,Plastic,Blue,"Lever Arch File",A3,,Hardback,,,,,,,
etrade107,,Plastic,Clear,"File Pocket",A3,Punched,,,,,,,,
etrade108,,Plastic,Clear,"File Pocket",A3,Punched,,,,,,,,
etrade109,,,Yellow,,,,,,"1600 Pages",,Single,,,
etrade110,,,Black,,,,,,,,Single,,,
etrade111,,,Cyan,,,,,,,,Single,,,
etrade112,,,Magenta,,,,,,,,Single,,,
etrade113,,,Yellow,,,,,,,,Single,,,
etrade114,,,Black,,,,,,,,Single,,,
etrade115,,,Cyan,,,,,,,,Single,,,
etrade116,1,,Black,,A4,,Desktop,,,,,,,
etrade117,,,Magenta,,,,,,,,Single,,,
etrade118,,,Yellow,,,,,,,,Single,,,
etrade119,60,,,,6mm,,,,,,,,,
etrade120,60,,,,6mm,,,,,,,,,
etrade121,60,,,,6mm,,,,,,,,,
etrade122,60,,,,6mm,,,,,,,,,
etrade123,1,,Blue,,A4,,Desktop,,,,,,,
etrade124,,,Black,,A4,Slide,,,,,,,,
etrade125,,,White,,A4,Slide,,,,,,,,
etrade126,,,Red,,A4,Slide,,,,,,,,
etrade127,,,Blue,,A4,Slide,,,,,,,,
etrade128,60,,,,6mm,,,,,,,,,
etrade129,1,,Black,,A4,,Desktop,,,,,,,
etrade130,,,Yellow,,,,,,,,Single,,,
etrade131,,Plastic,Blue,"Project File",A4,,,,,,,,,
etrade132,,Plastic,Red,"Project File",A4,,,,,,,,,
etrade133,,,Blue,"File Pocket",A4,Punched,,,,,,,,
etrade134,,,Red,"File Pocket",A4,Punched,,,,,,,,
etrade135,2,Plastic,Blue,"Mini Lever Arch File",A4,,Hardback,,,,,,,
etrade136,,,Yellow,,,,,,,,Multi,,,
etrade137,,,Blue,File,A4,,,,,,,,,
etrade138,,,Green,,A4,,,,,,,,,
etrade139,,,Red,,A4,,,,,,,,,
etrade140,,,Blue,,Foolscap,,,,,,,,,
etrade141,,,Red,,Foolscap,,,,,,,,,
etrade142,,,White,,A4,Matt,,,,180gm,,,,
etrade143,,,Blue,"Refill Ink",,,,,,,,,,
etrade144,,,,,"445mmm x 285mm",,,,,,,,,
etrade145,,,,,"445mmm x 285mm",,,,,,,,,
etrade146,,,,,"450mm x 570mm",,,,,,,,,
etrade147,,,,,"450mm x 570mm",,,,,,,,,
etrade148,,,White,,A4,Matt,,,,120gm,,,,
etrade149,,,White,,A3,Matt,,,,120gm,,,,
etrade150,,,Black,,,,,,"10,000 Pages",,,,,
etrade151,,Polythene,Clear,,C4,,"Protective (Non Padded) Envelope",,,,,,,
etrade152,,Polythene,White,,C4,,"Protective (Non Padded) Envelope",,,,,,,
etrade153,,Polythene,White,,DX,,"Protective (Non Padded) Envelope",,,,,,,
etrade154,,Polythene,White,,DX,,"Protective (Non Padded) Envelope",,,,,,,
etrade155,,Polythene,White,,DX,,"Polythene Bag",,,,,,,
etrade156,,Polythene,Clear,,C3,,"Protective (Non Padded) Envelope",,,,,,,
etrade157,,Polythene,White,,C3,,"Protective (Non Padded) Envelope",,,,,,,
etrade158,,Polypropylene,Red,Wallet,Foolscap,,,,,,,,,
etrade159,,Plastic,Blue,Folder,Foolscap,,,,,,,,,
etrade160,,Plastic,Clear,Files,A4,,,,,,,,,
etrade161,,Polypropylene,Yellow,Wallet,Foolscap,,,,,,,,,
etrade162,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,25mm,,
etrade163,2,Polypropylene,Blue,,A4,,O-Ring,,,,,25mm,,
etrade164,2,Polypropylene,Clear,,A4,,O-Ring,,,,,25mm,,
etrade165,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,25mm,,
etrade166,,Polypropylene,Clear,Binder,A4,,,,,,,,,
etrade167,,Plastic,Pink,Files,A4,,,,,,,,,
etrade168,,Plastic,Purple,Folder,Foolscap,,,,,,,,,
etrade169,,Polypropylene,Blue,Wallet,Foolscap,,,,,,,,,
etrade170,,Polypropylene,Green,Wallet,Foolscap,,,,,,,,,
etrade171,,Polypropylene,Mixed,Wallet,Foolscap,,,,,,,,,
etrade172,,Polypropylene,Mixed,File,A5,,,,,,,,,
etrade173,,Polypropylene,Mixed,,A3,,,,,,,,,
etrade174,,,,,,,,,,,,,,
etrade175,,,,,,,,,,,,,,
etrade176,,,Black,,,,,,"20,000 Pages",,,,,
etrade177,,,,,,,,,,,,,,
etrade178,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,25mm,,
etrade179,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,25mm,,
etrade180,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,25mm,,
etrade181,2,Polypropylene,Mixed,,A5,,O-Ring,,,,,15mm,,
etrade182,,,Black,,,,,,"2,500 Pages",,,,,
etrade183,2,Polypropylene,Mixed,,A4,,O-Ring,,,,,15mm,,
etrade184,,,Black,,,,,,"6,000  Pages",,,,,
etrade185,,Polypropylene,Mixed,Binder,A4,,,,,,,,,
etrade186,,,Blue,"Ballpoint Pen",,,,,,,,,,
etrade187,,Polypropylene,Mixed,Wallet,A4,,,,,,,,,
etrade188,,Polypropylene,Mixed,"Card Holder",A4,,,,,,,,,
etrade189,,,Black,"Rollerball Pen",,,Rollerball,,,,,,,
etrade190,,Polypropylene,Mixed,,Foolscap,,,,,,,,,
etrade191,,Plastic,Clear,,,,,,,,,,,
etrade192,,,Black,"OHP Pens",,Non-Permanent,,,,,,,,
etrade193,,,Black,"Rollerball Set",,Permanent,Rollerball,,,,,,,
etrade194,,,Blue,"Rollerball Set",,Permanent,Rollerball,,,,,,,
etrade195,,,Black,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade196,,,Blue,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade197,,,Black,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade198,,,Black,"OHP Pens",,Permanent,,,,,,,,
etrade199,,,Blue,"OHP Pens",,Permanent,,,,,,,,
etrade200,,,Blue,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade201,,,Blue,"Refill Ink",,,,,,,,,,
etrade202,,,Black,"OHP Pens",,Non-Permanent,,,,,,,,
etrade203,,,Black,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade204,,,Blue,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade205,,,Black,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade206,,,,,,,,,,,,,,
etrade207,,,Black,"OHP Pens",,Permanent,,,,,,,,
etrade208,,,Blue,"Rollerball Pen",,Permanent,Rollerball,,,,,,,
etrade209,,,Black,"OHP Pens",,Non-Permanent,,,,,,,,
etrade210,,,Red,"OHP Pens",,Non-Permanent,,,,,,,,
etrade211,,,Black,"OHP Pens",,Permanent,Fibre,,,,,,,
etrade212,,,Blue,"OHP Pens",,Permanent,,,,,,,,
etrade213,,,Red,"OHP Pens",,Permanent,,,,,,,,
etrade214,,,Red,"Ballpoint Pen",,,,,,,,,,
etrade215,,,Red,"Ballpoint Pen",,,,,,,,,,
etrade216,96,Board,,,A4,Unpunched,Hardback,,,,,,,
etrade217,,,,"Desk Mats",,,,,,,,,,
etrade218,,,Clear,,,,,,,,,,,
etrade219,,Card,White,,,,,,,,,,,
etrade220,,Card,Orange,,,,,,,,,,,
etrade221,,,Black,"Fineliner Pens",,,Fibre,,,,,,,
etrade222,,,Blue,"Fineliner Pens",,,,,,,,,,
etrade223,,,Black,"Refill Ink",,,,,,,,,,
etrade224,,,Black,"Permanent Marker",,,,,,,,,,
etrade225,,,,"Refill Ink",,,,,,,,,,
etrade226,,Plastic,Steel,,,,,,,,,"48 litres",,
etrade227,,Plastic,Steel,,,,,,,,,"48 litres",,
etrade228,,Polypropylene,Grey,,,,,,,,,90litres,,
etrade229,,,,,,,Tube,,,,,,,
etrade230,,,Black,"Fineliner Pens",,,Fibre,,,,,,,
etrade231,,,Blue,"Felt pen",,Non-Permanent,Fibre,,,,,,,
etrade232,,,,,,,,,,,,,,
etrade233,,,Silver,,,,,,,,,"15 litres",,
etrade234,,Steel,Black,,,,,,,,,"15 litres",,
etrade235,,Steel,Silver,,,,,,,,,"15 litres",,
etrade236,,,Black,"Umbrella Stand",,,,,,,,,,
etrade237,,,Silver,Stand,,,,,,,,,,
etrade238,,,,"Mechanical Pencils",,,,,,,,,,
etrade239,,,Yellow,"Highlighter Pens",,,Chisel,,,,,,,
etrade240,,,Green,"Highlighter Pens",,,Chisel,,,,,,,
etrade241,,,Orange,"Highlighter Pens",,,Chisel,,,,,,,
etrade242,,,Pink,"Highlighter Pens",,,Chisel,,,,,,,
etrade243,,,Blue,"Highlighter Pens",,,Chisel,,,,,,,
etrade244,,,Red,"Highlighter Pens",,,Chisel,,,,,,,
etrade245,,,,"Mechanical Pencils",,,,,,,,,,
etrade246,,,Blue,"Mechanical Pencils",,,,,,,,,,
etrade247,,,Black,"Mechanical Pencil",,HB,,,,,,,,
etrade248,,,,,,HB,,,,,,,,
etrade249,,,,,,,,,,,,,,
etrade250,,,,,,,,,,,,,,
etrade251,,,,,,HB,,,,,,,,
etrade252,,,,,,,Filter,,,,,,,
etrade253,,,White,"Permanent Marker",,,,,,,,,,
etrade254,,,Black,"Permanent Marker",,,,,,,,,,
etrade255,,,Red,"Permanent Marker",,,,,,,,,,
etrade256,,,Blue,"Permanent Marker",,,,,,,,,,
etrade257,,,Green,"Permanent Marker",,,,,,,,,,
etrade258,,,Black,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade259,,,Red,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade260,,,Blue,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade261,,,Green,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade262,1,Plastic,Blue,,,,,,,,,,,
etrade263,1,Plastic,Black,,,,,,,,,,,
etrade264,1,Plastic,Blue,,A4,,,,,,,,,
etrade265,1,Plastic,Black,,A4,,,,,,,,,
etrade266,1,Plastic,Blue,,A3,,,,,,,,,
etrade267,1,Plastic,Black,,A3,,,,,,,,,
etrade268,,,Black,"Fineliner Pen",,,Rollerball,,,,,,,
etrade269,,,Blue,Pen,,,Rollerball,,,,,,,
etrade270,,,Red,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade271,,,,,,,,,,,,,,
etrade272,,,Blue,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade273,,,Black,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade274,,,Red,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade275,,,Green,"Fineliner Pens",,Permanent,Fibre,,,,,,,
etrade276,,,Black,"Fineliner Pen",,Non-Permanent,Fibre,,,,,,,
etrade277,,,Red,"Fineliner Pens",,,,,,,,,,
etrade278,,,,,A4,,,,,,,,,
etrade279,,,Black,"Ballpoint Pen",,,,,,,,,,
etrade280,,,Black,"Refill Ink",,,,,,,,,,
etrade281,,,Black,"Permanent Marker",,,,,,,,,,
etrade282,,,,,,,,,,,,,,
etrade283,,,,,,,,,,,,,,
etrade284,,,,,,,,,,,,,,
etrade285,,,,,,,,,,,,,,
etrade286,,,,,,,,,,,,,,
etrade287,,,Black,,,2B,,,,,,,,
etrade288,,,Black,,,HB,,,,,,,,
etrade289,,,Black,,,2H,,,,,,,,
etrade290,,,White,,,,,,,,,,,
etrade291,,,Clear,,,,,,,,,,,
etrade292,,,Clear,,,,,,,,,,,
etrade293,,,Clear,,,,,,,,,,,
etrade294,,,Clear,,,,,,,,,,,
etrade295,,,Clear,,,,,,,,,,,
etrade296,,,,,,,,,,,,,,
etrade297,,,Clear,,,,,,,,,,,
etrade298,1,,Clear,,A4,,"Desk Display",,,,,,,
etrade299,,,Clear,,,,,,,,,,,
