sku,websites,qty,is_in_stock
etrade1,base,7,1
etrade2,base,2,1
etrade3,base,48,1
etrade4,base,24,1
etrade5,base,0,0
etrade6,base,41,1
etrade7,base,17,1
etrade8,base,379,1
etrade9,base,27,1
etrade10,base,0,0
etrade11,base,64,1
etrade12,base,67,1
etrade13,base,0,0
etrade14,base,161,1
etrade15,base,33,1
etrade16,base,193,1
etrade17,base,0,0
etrade18,base,12,1
etrade19,base,0,0
etrade20,base,27,1
etrade21,base,69,1
etrade22,base,500,1
etrade23,base,1978,1
etrade24,base,2612,1
etrade25,base,115,1
etrade26,base,140,1
etrade27,base,10930,1
etrade28,base,0,0
etrade29,base,0,0
etrade30,base,5,1
etrade31,base,2,1
etrade32,base,1,1
etrade33,base,12,1
etrade34,base,8,1
etrade35,base,0,0
etrade36,base,14,1
etrade37,base,0,0
etrade38,base,1400,1
etrade39,base,0,0
etrade40,base,750,1
etrade41,base,24,1
etrade42,base,24,1
etrade43,base,0,0
etrade44,base,24,1
etrade45,base,0,0
etrade46,base,168,1
etrade47,base,36,1
etrade48,base,0,0
etrade49,base,60,1
etrade50,base,50,1
etrade51,base,20,1
etrade52,base,75,1
etrade53,base,210,1
etrade54,base,210,1
etrade55,base,648,1
etrade56,base,192,1
etrade57,base,99,1
etrade58,base,40,1
etrade59,base,0,0
etrade60,base,0,0
etrade61,base,41,1
etrade62,base,165,1
etrade63,base,9,1
etrade64,base,44,1
etrade65,base,148,1
etrade68,base,14,1
etrade69,base,12,1
etrade70,base,0,0
etrade71,base,15,1
etrade72,base,0,0
etrade73,base,40,1
etrade74,base,10,1
etrade75,base,0,0
etrade76,base,80,1
etrade77,base,70,1
etrade78,base,70,1
etrade79,base,50,1
etrade80,base,130,1
etrade81,base,80,1
etrade82,base,30,1
etrade83,base,40,1
etrade84,base,790,1
etrade85,base,50,1
etrade86,base,80,1
etrade87,base,50,1
etrade88,base,0,0
etrade89,base,5730,1
etrade90,base,1390,1
etrade91,base,480,1
etrade92,base,810,1
etrade93,base,280,1
etrade94,base,90,1
etrade95,base,210,1
etrade96,base,260,1
etrade97,base,720,1
etrade98,base,500,1
etrade99,base,0,0
etrade100,base,0,0
etrade101,base,976,1
etrade102,base,40,1
etrade103,base,3,1
etrade104,base,90,1
etrade105,base,382,1
etrade106,base,0,0
etrade107,base,104,1
etrade108,base,320,1
etrade109,base,0,0
etrade110,base,0,0
etrade111,base,0,0
etrade112,base,0,0
etrade113,base,0,0
etrade114,base,0,0
etrade115,base,0,0
etrade116,base,0,0
etrade117,base,0,0
etrade118,base,0,0
etrade119,base,2,1
etrade120,base,83,1
etrade121,base,0,0
etrade122,base,8,1
etrade123,base,880,1
etrade124,base,2,1
etrade125,base,2,1
etrade126,base,2,1
etrade127,base,0,0
etrade128,base,0,0
etrade129,base,10,1
etrade130,base,0,0
etrade131,base,25,1
etrade132,base,0,0
etrade133,base,86,1
etrade134,base,0,0
etrade135,base,20,1
etrade136,base,15,1
etrade137,base,55,1
etrade138,base,10,1
etrade139,base,40,1
etrade140,base,0,0
etrade141,base,0,0
etrade142,base,0,0
etrade143,base,36,1
etrade144,base,0,0
etrade145,base,0,0
etrade146,base,0,0
etrade147,base,0,0
etrade148,base,0,0
etrade149,base,0,0
etrade150,base,0,0
etrade151,base,22,1
etrade152,base,49,1
etrade153,base,15,1
etrade154,base,20,1
etrade155,base,30,1
etrade156,base,0,0
etrade157,base,2,1
etrade158,base,0,0
etrade159,base,10,1
etrade160,base,105,1
etrade161,base,5,1
etrade162,base,20,1
etrade163,base,0,0
etrade164,base,40,1
etrade165,base,3,1
etrade166,base,20,1
etrade167,base,0,0
etrade168,base,0,0
etrade169,base,0,0
etrade170,base,0,0
etrade171,base,15,1
etrade172,base,59,1
etrade173,base,0,0
etrade174,base,27,1
etrade175,base,30,1
etrade176,base,0,0
etrade177,base,46,1
etrade178,base,60,1
etrade179,base,20,1
etrade180,base,105,1
etrade181,base,20,1
etrade182,base,0,0
etrade183,base,50,1
etrade184,base,0,0
etrade185,base,3,1
etrade186,base,12,1
etrade187,base,12,1
etrade188,base,0,0
etrade189,base,0,0
etrade190,base,34,1
etrade191,base,3,1
etrade192,base,0,0
etrade193,base,0,0
etrade194,base,60,1
etrade195,base,12,1
etrade196,base,0,0
etrade197,base,1908,1
etrade198,base,2710,1
etrade199,base,0,0
etrade200,base,300,1
etrade201,base,36,1
etrade202,base,400,1
etrade203,base,0,0
etrade204,base,252,1
etrade205,base,108,1
etrade206,base,8,1
etrade207,base,2160,1
etrade208,base,600,1
etrade209,base,880,1
etrade210,base,0,0
etrade211,base,7380,1
etrade212,base,190,1
etrade213,base,1810,1
etrade214,base,420,1
etrade215,base,948,1
etrade216,base,2,1
etrade217,base,7,1
etrade218,base,695,1
etrade219,base,85,1
etrade220,base,49,1
etrade221,base,36,1
etrade222,base,0,0
etrade223,base,24,1
etrade224,base,732,1
etrade225,base,48,1
etrade226,base,150,1
etrade227,base,46,1
etrade228,base,76,1
etrade229,base,70,1
etrade230,base,60,1
etrade231,base,24,1
etrade232,base,60,1
etrade233,base,10,1
etrade234,base,2,1
etrade235,base,6,1
etrade236,base,37,1
etrade237,base,2,1
etrade238,base,0,0
etrade239,base,1620,1
etrade240,base,20,1
etrade241,base,760,1
etrade242,base,770,1
etrade243,base,520,1
etrade244,base,340,1
