sku,supplier1_sku,supplier1_partcode,supplier1_sku_tree1,supplier1_sku_tree2,supplier1_sku_tree3
etrade1,,00054X,,,
etrade2,,000558,,,
etrade3,,000574,,,
etrade4,,000582,,,
etrade5,,000779,,,
etrade6,,000833,,,
etrade7,,000892,,,
etrade8,,000906,,,
etrade9,,000922,,,
etrade10,,000930,,,
etrade11,,000949,,,
etrade12,,000957,,,
etrade13,,000965,,,
etrade14,,000973,,,
etrade15,,000981,,,
etrade16,,00099X,,,
etrade17,,001006,,,
etrade18,,001022,,,
etrade19,,001030,,,
etrade20,,001049,,,
etrade21,,001065,,,
etrade22,,00109X,,,
etrade23,,001103,,,
etrade24,,001111,,,
etrade25,,001154,,,
etrade26,,001189,,,
etrade27,,00215X,,,
etrade28,,002233,,,
etrade29,,002281,,,
etrade30,,00229X,,,
etrade31,,00232X,,,
etrade32,,002354,,,
etrade33,,002397,,,
etrade34,,002400,,,
etrade35,,00246X,,,
etrade36,,002494,,,
etrade37,,002924,,,
etrade38,,002966,,,
etrade39,,003092,,,
etrade40,,003112,,,
etrade41,,003368,,,
etrade42,,003392,,,
etrade43,,003414,,,
etrade44,,003422,,,
etrade45,,003430,,,
etrade46,,003449,,,
etrade47,,003465,,,
etrade48,,003546,,,
etrade49,,003694,,,
etrade50,,003740,,,
etrade51,,003759,,,
etrade52,,003767,,,
etrade53,,003783,,,
etrade54,,003791,,,
etrade55,,00407X,,,
etrade56,,004096,,,
etrade57,,004975,,,
etrade58,,005067,,,
etrade59,,005520,,,
etrade60,,00558X,,,
etrade61,,005601,,,
etrade62,,00561X,,,
etrade63,,005628,,,
etrade64,,005644,,,
etrade65,,005660,,,
etrade68,,005954,,,
etrade69,,005962,,,
etrade70,,005970,,,
etrade71,,005989,,,
etrade72,,006110,,,
etrade73,,006208,,,
etrade74,,006216,,,
etrade75,,006233,,,
etrade76,,006445,,,
etrade77,,00647X,,,
etrade78,,006526,,,
etrade79,,006623,,,
etrade80,,006631,,,
etrade81,,00664X,,,
etrade82,,006658,,,
etrade83,,006682,,,
etrade84,,006690,,,
etrade85,,006712,,,
etrade86,,006852,,,
etrade87,,006860,,,
etrade88,,007297,,,
etrade89,,007327,,,
etrade90,,007378,,,
etrade91,,007408,,,
etrade92,,007440,,,
etrade93,,007483,,,
etrade94,,007521,,,
etrade95,,00753X,,,
etrade96,,007556,,,
etrade97,,007572,,,
etrade98,,007580,,,
etrade99,,007637,,,
etrade100,,007645,,,
etrade101,,007653,,,
etrade102,,008624,,,
etrade103,,008705,,,
etrade104,,008748,,,
etrade105,,008772,,,
etrade106,,008810,,,
etrade107,,009042,,,
etrade108,,009069,,,
etrade109,,009199,,,
etrade110,,009270,,,
etrade111,,009289,,,
etrade112,,009297,,,
etrade113,,009300,,,
etrade114,,009343,,,
etrade115,,009351,,,
etrade116,,009360,,,
etrade117,,009378,,,
etrade118,,009386,,,
etrade119,,009425,,,
etrade120,,009433,,,
etrade121,,009441,,,
etrade122,,00945X,,,
etrade123,,009476,,,
etrade124,,009514,,,
etrade125,,009522,,,
etrade126,,009530,,,
etrade127,,009549,,,
etrade128,,009557,,,
etrade129,,009611,,,
etrade130,,009644,,,
etrade131,,009719,,,
etrade132,,009743,,,
etrade133,,009816,,,
etrade134,,009859,,,
etrade135,,010007,,,
etrade136,,010221,,,
etrade137,,010325,,,
etrade138,,010333,,,
etrade139,,01035X,,,
etrade140,,010376,,,
etrade141,,010406,,,
etrade142,,010572,,,
etrade143,,011045,,,
etrade144,,011118,,,
etrade145,,011134,,,
etrade146,,011169,,,
etrade147,,011177,,,
etrade148,,011585,,,
etrade149,,011632,,,
etrade150,,011690,,,
etrade151,,011819,,,
etrade152,,011827,,,
etrade153,,011835,,,
etrade154,,011843,,,
etrade155,,011851,,,
etrade156,,011878,,,
etrade157,,011886,,,
etrade158,,012016,,,
etrade159,,012024,,,
etrade160,,012032,,,
etrade161,,012040,,,
etrade162,,012059,,,
etrade163,,012075,,,
etrade164,,012083,,,
etrade165,,012105,,,
etrade166,,012113,,,
etrade167,,01213X,,,
etrade168,,012148,,,
etrade169,,012164,,,
etrade170,,012172,,,
etrade171,,012180,,,
etrade172,,012199,,,
etrade173,,012210,,,
etrade174,,012253,,,
etrade175,,012261,,,
etrade176,,012271,,,
etrade177,,012288,,,
etrade178,,01230X,,,
etrade179,,012334,,,
etrade180,,012350,,,
etrade181,,012393,,,
etrade182,,012459,,,
etrade183,,012466,,,
etrade184,,012475,,,
etrade185,,012520,,,
etrade186,,012539,,,
etrade187,,012555,,,
etrade188,,012679,,,
etrade189,,012687,,,
etrade190,,012792,,,
etrade191,,012903,,,
etrade192,,013038,,,
etrade193,,013062,,,
etrade194,,013070,,,
etrade195,,013089,,,
etrade196,,013097,,,
etrade197,,013100,,,
etrade198,,013143,,,
etrade199,,013151,,,
etrade200,,013178,,,
etrade201,,013208,,,
etrade202,,013259,,,
etrade203,,013283,,,
etrade204,,013291,,,
etrade205,,013313,,,
etrade206,,013321,,,
etrade207,,013364,,,
etrade208,,013399,,,
etrade209,,013496,,,
etrade210,,013518,,,
etrade211,,013542,,,
etrade212,,013550,,,
etrade213,,013569,,,
etrade214,,014084,,,
etrade215,,014130,,,
etrade216,,014483,,,
etrade217,,014661,,,
etrade218,,01470X,,,
etrade219,,014718,,,
etrade220,,014742,,,
etrade221,,014947,,,
etrade222,,014955,,,
etrade223,,015071,,,
etrade224,,015209,,,
etrade225,,015306,,,
etrade226,,015373,,,
etrade227,,015381,,,
etrade228,,015462,,,
etrade229,,015500,,,
etrade230,,015675,,,
etrade231,,015683,,,
etrade232,,015853,,,
etrade233,,015918,,,
etrade234,,015926,,,
etrade235,,015950,,,
etrade236,,015969,,,
etrade237,,015977,,,
etrade238,,015993,,,
etrade239,,016069,,,
etrade240,,016077,,,
etrade241,,016085,,,
etrade242,,016093,,,
etrade243,,016107,,,
etrade244,,016115,,,
etrade245,,016212,,,
etrade246,,016220,,,
etrade247,,016239,,,
etrade248,,016255,,,
etrade249,,016263,,,
etrade250,,016271,,,
etrade251,,01628X,,,
etrade252,,016425,,,
etrade253,,016441,,,
etrade254,,016506,,,
etrade255,,016514,,,
etrade256,,016522,,,
etrade257,,016530,,,
etrade258,,01659X,,,
etrade259,,016603,,,
etrade260,,016611,,,
etrade261,,01662X,,,
etrade262,,016743,,,
etrade263,,016751,,,
etrade264,,016778,,,
etrade265,,016786,,,
etrade266,,016808,,,
etrade267,,016816,,,
etrade268,,017005,,,
etrade269,,017013,,,
etrade270,,017021,,,
etrade271,,017129,,,
etrade272,,017382,,,
etrade273,,017390,,,
etrade274,,017404,,,
etrade275,,017412,,,
etrade276,,017501,,,
etrade277,,017609,,,
etrade278,,01782X,,,
etrade279,,018000,,,
etrade280,,018019,,,
etrade281,,018078,,,
etrade282,,018132,,,
etrade283,,018140,,,
etrade284,,018159,,,
etrade285,,018167,,,
etrade286,,018221,,,
etrade287,,018256,,,
etrade288,,018272,,,
etrade289,,018299,,,
etrade290,,018868,,,
etrade291,,018876,,,
etrade292,,018884,,,
etrade293,,018949,,,
etrade294,,018957,,,
etrade295,,018965,,,
etrade296,,018973,,,
etrade297,,018981,,,
etrade298,,01899X,,,
etrade299,,019006,,,
etrade300,,019049,,,
etrade301,,019065,,,
etrade302,,01909X,,,
etrade303,,019103,,,
etrade304,,019111,,,
etrade305,,01912X,,,
etrade306,,019146,,,
etrade307,,019154,,,
etrade308,,019162,,,
etrade309,,019170,,,
etrade310,,019189,,,
etrade311,,019200,,,
etrade312,,019219,,,
etrade313,,019227,,,
etrade314,,019235,,,
etrade315,,019340,,,
etrade316,,019359,,,
etrade317,,019375,,,
etrade318,,019413,,,
etrade319,,019448,,,
etrade320,,019626,,,
etrade321,,020054,,,
etrade322,,020135,,,
etrade323,,020151,,,
etrade324,,02016X,,,
etrade325,,020240,,,
etrade326,,020259,,,
etrade327,,020267,,,
etrade328,,020275,,,
etrade329,,020305,,,
etrade330,,020313,,,
etrade331,,020321,,,
etrade332,,02033X,,,
etrade333,,020348,,,
etrade334,,020356,,,
etrade335,,020364,,,
etrade336,,020461,,,
etrade337,,021416,,,
etrade338,,021555,,,
etrade339,,021563,,,
etrade340,,021571,,,
etrade341,,021628,,,
etrade342,,021644,,,
etrade343,,021652,,,
etrade344,,021660,,,
etrade345,,02167X,,,
etrade346,,021688,,,
etrade347,,021718,,,
etrade348,,021874,,,
etrade349,,021962,,,
etrade350,,022055,,,
etrade351,,022071,,,
etrade352,,02211X,,,
etrade353,,022128,,,
etrade354,,022136,,,
etrade355,,022152,,,
etrade356,,022160,,,
etrade357,,022179,,,
etrade358,,022187,,,
etrade359,,022225,,,
etrade360,,022322,,,
etrade361,,022446,,,
etrade362,,022462,,,
etrade363,,022489,,,
etrade364,,022497,,,
etrade365,,022608,,,
etrade366,,022632,,,
etrade367,,022748,,,
etrade368,,022772,,,
etrade369,,02362X,,,
etrade370,,023638,,,
etrade371,,023700,,,
etrade372,,024269,,,
etrade373,,024277,,,
etrade374,,024285,,,
etrade375,,024293,,,
etrade376,,024315,,,
etrade377,,024552,,,
etrade378,,024900,,,
etrade379,,024927,,,
etrade380,,024935,,,
etrade381,,025019,,,
etrade382,,025086,,,
etrade383,,025108,,,
etrade384,,025116,,,
etrade385,,025124,,,
etrade386,,025132,,,
etrade387,,025701,,,
etrade388,,02571X,,,
etrade389,,025728,,,
etrade390,,025736,,,
etrade391,,025833,,,
etrade392,,025841,,,
etrade393,,02585X,,,
etrade394,,025868,,,
etrade395,,025949,,,
etrade396,,025957,,,
etrade397,,026219,,,
etrade398,,026235,,,
etrade399,,026243,,,
etrade400,,026464,,,
etrade401,,026693,,,
etrade402,,026723,,,
etrade403,,026731,,,
etrade404,,02674X,,,
etrade405,,026758,,,
etrade406,,026782,,,
etrade407,,026790,,,
etrade408,,026804,,,
etrade409,,026820,,,
etrade410,,026847,,,
etrade411,,026855,,,
etrade412,,027249,,,
etrade413,,027281,,,
etrade414,,02729X,,,
etrade415,,028430,,,
etrade416,,028481,,,
etrade417,,028724,,,
etrade418,,028732,,,
etrade419,,028740,,,
etrade420,,028759,,,
etrade421,,028767,,,
etrade422,,028953,,,
etrade423,,029029,,,
etrade424,,029606,,,
etrade425,,029630,,,
etrade426,,033529,,,
etrade427,,033839,,,
etrade428,,034060,,,
etrade429,,034567,,,
etrade430,,03467X,,,
etrade431,,034729,,,
etrade432,,03478X,,,
etrade433,,03489X,,,
etrade434,,036134,,,
etrade435,,036150,,,
etrade436,,036177,,,
etrade437,,036193,,,
etrade438,,036207,,,
etrade439,,036215,,,
etrade440,,036630,,,
etrade441,,036967,,,
etrade442,,037537,,,
etrade443,,037636,,,
etrade444,,037865,,,
etrade445,,038275,,,
etrade447,,038305,,,
etrade449,,038321,,,
etrade450,,039147,,,
etrade451,,039236,,,
etrade452,,039244,,,
etrade453,,040245,,,
etrade454,,041745,,,
etrade455,,04186X,,,
etrade456,,041923,,,
etrade457,,043002,,,
etrade458,,043010,,,
etrade459,,043029,,,
etrade460,,043037,,,
etrade461,,043371,,,
etrade462,,043967,,,
etrade463,,043975,,,
etrade464,,044091,,,
etrade465,,044148,,,
etrade466,,045364,,,
etrade467,,045526,,,
etrade468,,045534,,,
etrade469,,046732,,,
etrade470,,047241,,,
etrade471,,04742X,,,
etrade472,,047462,,,
etrade473,,047470,,,
etrade474,,047489,,,
etrade475,,047497,,,
etrade476,,047672,,,
etrade477,,047680,,,
etrade478,,047711,,,
etrade479,,047795,,,
etrade480,,047800,,,
etrade481,,047834,,,
etrade482,,047842,,,
etrade483,,047853,,,
etrade484,,04787X,,,
etrade485,,047888,,,
etrade486,,047896,,,
etrade487,,047949,,,
etrade488,,047957,,,
etrade489,,047965,,,
etrade490,,047973,,,
etrade491,,048740,,,
etrade492,,049285,,,
etrade493,,049307,,,
etrade494,,049323,,,
etrade495,,049331,,,
etrade496,,049447,,,
etrade497,,04948X,,,
etrade498,,049501,,,
etrade499,,04951X,,,
etrade500,,050275,,,
etrade501,,050827,,,
etrade502,,050940,,,
etrade503,,050975,,,
etrade504,,051024,,,
etrade505,,053165,,,
etrade506,,053203,,,
etrade507,,053211,,,
etrade508,,05322X,,,
etrade509,,053238,,,
etrade510,,053246,,,
etrade511,,05336X,,,
etrade512,,053378,,,
etrade513,,054675,,,
etrade514,,054683,,,
etrade515,,054888,,,
